from,to,time_step,flow
GER,NED,699,5000.0
GER,NED,700,5000.0
GER,NED,701,5000.0
GER,NED,702,5000.0
GER,NED,703,5000.0
GER,NED,704,5000.0
GER,NED,705,-5000.0
GER,NED,706,-5000.0
GER,NED,707,-5000.0
GER,NED,708,-5000.0
GER,NED,709,-5000.0
GER,NED,710,-5000.0
GER,NED,711,-5000.0
GER,NED,712,-3555.2914030715983
GER,NED,713,5000.0
GER,NED,714,5000.0
GER,NED,715,5000.0
GER,NED,716,5000.0
GER,NED,717,5000.0
GER,NED,718,5000.0
GER,NED,719,5000.0
GER,NED,720,5000.0
GER,NED,721,5000.0
GER,NED,722,5000.0
GER,NED,723,5000.0
GER,NED,724,5000.0
GER,NED,725,5000.0
GER,NED,726,5000.0
GER,NED,727,5000.0
GER,NED,728,5000.0
GER,NED,729,-5000.0
GER,NED,730,-5000.0
GER,NED,731,-5000.0
GER,NED,732,-5000.0
GER,NED,733,-5000.0
GER,NED,734,-5000.0
GER,NED,735,-5000.0
GER,NED,736,1863.1224877515997
GER,NED,737,5000.0
GER,NED,738,5000.0
GER,NED,739,5000.0
GER,NED,740,5000.0
GER,NED,741,5000.0
GER,NED,742,5000.0
GER,NED,743,5000.0
GER,NED,744,5000.0
GER,NED,745,5000.0
GER,NED,746,5000.0
GER,NED,747,5000.0
GER,NED,748,5000.0
GER,NED,749,5000.0
GER,NED,750,5000.0
GER,NED,751,5000.0
GER,NED,752,5000.0
GER,NED,753,3682.9836158276994
GER,NED,754,-5000.0
GER,NED,755,-5000.0
GER,NED,756,-5000.0
GER,NED,757,-5000.0
GER,NED,758,-5000.0
GER,NED,759,-5000.0
GER,NED,760,-137.77080997929988
GER,NED,761,5000.0
GER,NED,762,5000.0
GER,NED,763,5000.0
GER,NED,764,5000.0
GER,NED,765,5000.0
GER,NED,766,5000.0
GER,NED,767,5000.0
GER,NED,768,5000.0
GER,NED,769,5000.0
GER,NED,770,5000.0
GER,NED,771,5000.0
GER,NED,772,5000.0
GER,NED,773,5000.0
GER,NED,774,5000.0
GER,NED,775,5000.0
GER,NED,776,5000.0
GER,NED,777,2230.9816032781
GER,NED,778,-5000.0
GER,NED,779,-5000.0
GER,NED,780,-5000.0
GER,NED,781,-5000.0
GER,NED,782,-5000.0
GER,NED,783,-5000.0
GER,NED,784,-5000.0
GER,NED,785,5000.0
GER,NED,786,5000.0
GER,NED,787,5000.0
GER,NED,788,5000.0
GER,NED,789,5000.0
GER,NED,790,5000.0
GER,NED,791,5000.0
GER,NED,792,5000.0
GER,NED,793,5000.0
GER,NED,794,5000.0
GER,NED,795,5000.0
GER,NED,796,5000.0
GER,NED,797,5000.0
GER,NED,798,5000.0
GER,NED,799,5000.0
GER,NED,800,5000.0
GER,NED,801,-3314.9572989916996
GER,NED,802,-5000.0
GER,NED,803,-5000.0
GER,NED,804,-5000.0
GER,NED,805,-5000.0
GER,NED,806,-5000.0
GER,NED,807,-5000.0
GER,NED,808,-5000.0
GER,NED,809,5000.0
GER,NED,810,5000.0
GER,NED,811,5000.0
GER,NED,812,5000.0
GER,NED,813,5000.0
GER,NED,814,5000.0
GER,NED,815,5000.0
GER,NED,816,5000.0
GER,NED,817,5000.0
GER,NED,818,5000.0
GER,NED,819,5000.0
GER,NED,820,5000.0
GER,NED,821,5000.0
GER,NED,822,5000.0
GER,NED,823,5000.0
